,DateTime,Open,High,Low,Close,Volume
1378,20220624  11:40:00,387.005,387.17,386.69,386.76,-1
1379,20220624  11:50:00,386.76,387.225,386.635,387.01,-1
1380,20220624  12:00:00,387.01,387.425,386.88,387.195,-1
1381,20220624  12:10:00,387.195,387.465,387.145,387.355,-1
1382,20220624  12:20:00,387.355,387.41,386.77,386.88,-1
1383,20220624  12:30:00,386.88,387.025,386.535,386.865,-1
1384,20220624  12:40:00,386.865,387.305,386.73,386.94,-1
1385,20220624  12:50:00,386.94,387.345,386.865,387.225,-1
1386,20220624  13:00:00,387.225,387.585,387.1,387.37,-1
1387,20220624  13:10:00,387.37,387.625,387.175,387.22,-1
1388,20220624  13:20:00,387.22,387.365,387.075,387.245,-1
1389,20220624  13:30:00,387.245,387.385,387.005,387.12,-1
1390,20220624  13:40:00,387.12,387.445,386.98,387.195,-1
1391,20220624  13:50:00,387.195,387.37,386.81,386.98,-1
1392,20220624  14:00:00,386.98,387.21,386.775,386.93,-1
1393,20220624  14:10:00,386.93,387.345,386.93,387.23,-1
1394,20220624  14:20:00,387.23,387.46,386.97,387.34,-1
1395,20220624  14:30:00,387.34,387.695,387.295,387.34,-1
1396,20220624  14:40:00,387.34,387.785,387.26,387.785,-1
1397,20220624  14:50:00,387.785,387.915,387.595,387.85,-1
1398,20220624  15:00:00,387.85,387.95,387.675,387.775,-1
1399,20220624  15:10:00,387.775,388.065,387.625,387.96,-1
1400,20220624  15:20:00,387.96,388.145,387.825,388.075,-1
1401,20220624  15:30:00,388.075,388.245,387.72,388.235,-1
1402,20220624  15:40:00,388.235,388.645,388.175,388.35,-1
1403,20220624  15:50:00,388.35,390.085,388.345,390.055,-1
1404,20220627  09:30:00,391.07,391.36,388.63,389.405,-1
1405,20220627  09:40:00,389.405,389.465,387.52,387.88,-1
1406,20220627  09:50:00,387.88,388.925,387.735,388.12,-1
1407,20220627  10:00:00,388.12,389.865,388.04,388.81,-1
1408,20220627  10:10:00,388.81,389.09,387.99,388.75,-1
1409,20220627  10:20:00,388.75,389.445,388.08,388.185,-1
1410,20220627  10:30:00,388.185,389.195,388.085,388.97,-1
1411,20220627  10:40:00,388.97,389.925,388.71,389.905,-1
1412,20220627  10:50:00,389.905,390.855,389.84,390.38,-1
1413,20220627  11:00:00,390.38,390.58,389.53,389.57,-1
1414,20220627  11:10:00,389.57,390.26,389.38,390.185,-1
1415,20220627  11:20:00,390.185,391.12,390.035,390.9,-1
1416,20220627  11:30:00,390.9,390.93,390.01,390.41,-1
1417,20220627  11:40:00,390.41,391.135,390.355,390.7,-1
1418,20220627  11:50:00,390.7,390.74,390.185,390.58,-1
1419,20220627  12:00:00,390.58,390.745,389.575,389.945,-1
1420,20220627  12:10:00,389.945,390.135,389.405,390.09,-1
1421,20220627  12:20:00,390.09,390.22,388.98,389.15,-1
1422,20220627  12:30:00,389.15,389.225,388.545,389.11,-1
1423,20220627  12:40:00,389.11,389.675,388.98,389.575,-1
1424,20220627  12:50:00,389.575,389.97,389.425,389.81,-1
1425,20220627  13:00:00,389.81,389.94,388.64,389.15,-1
1426,20220627  13:10:00,389.15,389.765,389.13,389.635,-1
1427,20220627  13:20:00,389.635,389.735,389.09,389.23,-1
1428,20220627  13:30:00,389.23,389.275,388.725,389.005,-1
1429,20220627  13:40:00,389.005,389.1,388.1,388.415,-1
1430,20220627  13:50:00,388.415,388.78,388.32,388.4,-1
1431,20220627  14:00:00,388.4,388.675,387.965,388.355,-1
1432,20220627  14:10:00,388.355,389.17,388.15,389.14,-1
1433,20220627  14:20:00,389.14,389.185,388.435,388.59,-1
1434,20220627  14:30:00,388.59,389.365,388.335,389.245,-1
1435,20220627  14:40:00,389.245,389.275,388.65,389.125,-1
1436,20220627  14:50:00,389.125,389.13,388.505,388.58,-1
1437,20220627  15:00:00,388.58,388.715,387.46,388.3,-1
1438,20220627  15:10:00,388.3,389.195,388.26,389.03,-1
1439,20220627  15:20:00,389.03,389.16,388.595,388.815,-1
1440,20220627  15:30:00,388.815,388.83,387.735,387.95,-1
1441,20220627  15:40:00,387.95,389.205,387.805,388.78,-1
1442,20220627  15:50:00,388.78,388.795,387.44,388.665,-1
1443,20220628  09:30:00,390.205,393.155,390.13,392.73,-1
1444,20220628  09:40:00,392.73,392.95,391.905,392.725,-1
1445,20220628  09:50:00,392.725,392.93,391.525,391.91,-1
1446,20220628  10:00:00,391.91,392.31,389.825,390.17,-1
1447,20220628  10:10:00,390.17,390.795,390.085,390.15,-1
1448,20220628  10:20:00,390.15,390.305,389.395,389.565,-1
1449,20220628  10:30:00,389.565,389.66,388.455,389.05,-1
1450,20220628  10:40:00,389.05,389.125,387.905,388.215,-1
1451,20220628  10:50:00,388.215,388.81,387.705,388.765,-1
1452,20220628  11:00:00,388.765,388.985,388.18,388.35,-1
1453,20220628  11:10:00,388.35,388.635,387.54,387.6,-1
1454,20220628  11:20:00,387.6,387.745,385.755,385.77,-1
1455,20220628  11:30:00,385.77,386.245,385.155,385.195,-1
1456,20220628  11:40:00,385.195,385.375,384.465,384.91,-1
1457,20220628  11:50:00,384.91,384.92,383.87,384.09,-1
1458,20220628  12:00:00,384.09,384.245,383.325,384.04,-1
1459,20220628  12:10:00,384.04,384.645,383.37,384.05,-1
1460,20220628  12:20:00,384.05,384.91,383.925,384.89,-1
1461,20220628  12:30:00,384.89,384.89,383.945,384.65,-1
1462,20220628  12:40:00,384.65,385.335,384.6,384.84,-1
1463,20220628  12:50:00,384.84,384.88,384.17,384.53,-1
1464,20220628  13:00:00,384.53,384.565,382.985,383.0,-1
1465,20220628  13:10:00,383.0,383.285,382.62,382.94,-1
1466,20220628  13:20:00,382.94,383.665,382.525,383.54,-1
1467,20220628  13:30:00,383.54,383.675,382.62,382.77,-1
1468,20220628  13:40:00,382.77,383.36,382.66,383.15,-1
1469,20220628  13:50:00,383.15,383.455,382.885,383.085,-1
1470,20220628  14:00:00,383.085,383.78,382.42,382.505,-1
1471,20220628  14:10:00,382.505,382.66,381.665,381.665,-1
1472,20220628  14:20:00,381.665,381.935,381.535,381.865,-1
1473,20220628  14:30:00,381.865,381.865,380.885,380.915,-1
1474,20220628  14:40:00,380.915,382.01,380.72,381.98,-1
1475,20220628  14:50:00,381.98,382.005,381.405,381.495,-1
1476,20220628  15:00:00,381.495,381.915,380.74,381.01,-1
1477,20220628  15:10:00,381.01,381.485,380.74,381.39,-1
1478,20220628  15:20:00,381.39,381.935,381.05,381.49,-1
1479,20220628  15:30:00,381.49,381.8,381.02,381.54,-1
1480,20220628  15:40:00,381.54,381.645,380.62,381.07,-1
1481,20220628  15:50:00,381.07,381.365,380.535,380.735,-1
1482,20220629  09:30:00,381.23,381.725,378.96,379.03,-1
1483,20220629  09:40:00,379.03,379.685,378.415,379.52,-1
1484,20220629  09:50:00,379.52,381.915,379.395,381.05,-1
1485,20220629  10:00:00,381.05,382.265,380.535,381.34,-1
1486,20220629  10:10:00,381.34,382.11,379.63,379.81,-1
1487,20220629  10:20:00,379.81,381.71,379.725,381.11,-1
1488,20220629  10:30:00,381.11,382.1,380.115,381.11,-1
1489,20220629  10:40:00,381.11,382.19,380.91,381.575,-1
1490,20220629  10:50:00,381.575,382.125,380.745,380.845,-1
